name,garnish,serving_suggestion,ingredients,steps,review_count,url,website,image_url,ingredients_clean,serving_suggestion_clean,alcohol
Abacaxi Ricaço,Cut a straw sized hole in the top of the pineapple shell & replace it as a lid,Serve in a Pineapple shell (frozen) glass,"['1 whole Pineapple (fresh)', '3 shot Havana Club 3 Year Old rum', '3⁄4 shot Lime juice (freshly squeezed)', '1⁄2 shot White caster sugar']","Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).",4,https://www.diffordsguide.com/cocktails/recipe/1/abacaxi-ricaco,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/11/2015c67c9ebf5bc7f879934c1d08ef9e225e.jpg,"['whole Pineapple', 'Havana Club Year Old rum', 'Lime juice', 'White caster sugar']",Serve in a Pineapple shell (frozen) glass,rum
Abbey,Orange zest twist,Serve in a Coupe glass,"['1 1⁄2 shot Rutte Dry Gin', '3⁄4 shot Lillet Blanc (or other aromatized wine)', '3⁄4 shot Orange juice (freshly squeezed)', '2 dash Angostura Aromatic Bitters']",SHAKE all ingredients with ice and fine strain into chilled glass.,11,https://www.diffordsguide.com/cocktails/recipe/3/abbey,diffords,https://cdn.diffords.com/contrib/stock-images/2017/4/35/20179e429d6b57bf51bdcc1ed476d23beb85.jpg,"['Rutte Dry Gin', 'Lillet Blanc', 'Orange juice', 'Angostura Aromatic Bitters']",Serve in a Coupe glass,gin|Aromatic Bitters
A.B.C. Cocktail,Lemon zest twist & Luxardo Maraschino cherry,Serve in a Nick & Nora glass,"['7 fresh Mint leaves', '1 shot Tawny port', '1 shot Rémy Martin 1738 Cognac', '1⁄4 shot Luxardo Maraschino liqueur', '1⁄6 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']","TEAR mint and place in shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",5,https://www.diffordsguide.com/cocktails/recipe/4/abc-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2021/09/614498d0417f2.jpg,"['Mint leaves', 'Tawny port', 'Rémy Martin Cognac', 'Luxardo Maraschino liqueur', 'Sugar syrup']",Serve in a Nick & Nora glass,Cognac|Maraschino liqueur
Absinthe Cocktail,Mint leaf,Serve in a Coupe glass,"['1 shot La Fée Parisienne absinthe', '2 1⁄2 shot Chilled water', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and fine strain into chilled glass.,5,https://www.diffordsguide.com/cocktails/recipe/5/absinthe-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2021/09/61449b0737fbc.jpg,"['La Fée Parisienne absinthe', 'Chilled water', 'Sugar syrup']",Serve in a Coupe glass,absinthe
Absinthe Frappé,Mint sprigs bouquet,Serve in an Old-fashioned glass,"['1 shot La Fée Parisienne absinthe', '1⁄3 shot Anisette liqueur', '1 shot Chilled water', '1⁄6 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with a straw.,1,https://www.diffordsguide.com/cocktails/recipe/6/absinthe-frappe,diffords,https://cdn.diffords.com/contrib/stock-images/2022/03/62457c9a88093.jpg,"['La Fée Parisienne absinthe', 'Anisette liqueur', 'Chilled water', 'Sugar syrup']",Serve in an Old-fashioned glass,absinthe
Absinthe Sour,Lemon zest twist & Luxardo Maraschino Cherry,"Serve in an Old-fashioned glass
Photographed in a Libbey The Gats Rocks","['5⁄6 shot La Fée Parisienne absinthe', '1⁄3 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄2 shot Pasteurised egg white', ""2 dash Peychaud's or other Creole-style bitters (optional)""]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,3,https://www.diffordsguide.com/cocktails/recipe/7/absinthe-sour,diffords,https://cdn.diffords.com/contrib/stock-images/2020/01/5e15ec8d24d61.jpg,"['La Fée Parisienne absinthe', 'Sugar syrup', 'Lemon juice', 'Pasteurised egg white', ""Peychaud's or other Creole style bitters""]",Serve in an Old-fashioned glass,absinthe|bitters
Absinthe Suisesse,Mint sprig,Serve in an Old-fashioned glass,"['1 1⁄2 shot La Fée Parisienne absinthe', '1⁄2 shot Giffard Orgeat Syrup', '1 shot Pasteurised egg white', '1⁄2 shot Milk (semi-skimmed/2% fat)', '1⁄2 shot Single cream / half-and-half']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,0,https://www.diffordsguide.com/cocktails/recipe/8/absinthe-suisesse,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/06/20151a07bc3f2f4779cfa0efc1ab03848d03.jpg,"['La Fée Parisienne absinthe', 'Giffard Orgeat Syrup', 'Pasteurised egg white', 'Milk', 'Single cream half and half']",Serve in an Old-fashioned glass,absinthe
Absinthe Without Leave,None,Serve in a Shot glass,"['3⁄4 shot Pisang Ambon green banana liqueur', '3⁄4 shot Irish cream liqueur', '1⁄2 shot La Fée Parisienne absinthe']",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,0,https://www.diffordsguide.com/cocktails/recipe/9/absinthe-without-leave,diffords,https://cdn.diffords.com/contrib/stock-images/2017/4/39/2017f282062165449c076b6d93e3a74289ed.jpg,"['Pisang Ambon green banana liqueur', 'Irish cream liqueur', 'La Fée Parisienne absinthe']",Serve in a Shot glass,absinthe
Absolutely Fabulous,Strawberry,Serve in a Flute glass,"['1 shot Ketel One Vodka', '1 1⁄2 shot Cranberry juice (sweetened)', '1 1⁄2 shot Brut Champagne']",SHAKE first two ingredients with ice and strain into glass. TOP with champagne.,7,https://www.diffordsguide.com/cocktails/recipe/10/absolutely-fabulous,diffords,https://cdn.diffords.com/contrib/stock-images/2017/4/14/2017269a31a188c3271139be9ccce00959fc.jpg,"['Ketel One Vodka', 'Cranberry juice', 'Brut Champagne']",Serve in a Flute glass,vodka
Acapulco,Pineapple wedge,Serve in a Collins glass,"['1 shot Patrón Reposado tequila', '1 shot Havana Club 3 Year Old rum', '1 shot Pink grapefruit juice (freshly squeezed)', '2 shot Pineapple juice (fresh pressed)', '1⁄3 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and strain into ice-filled glass.,7,https://www.diffordsguide.com/cocktails/recipe/11/acapulco,diffords,https://cdn.diffords.com/contrib/stock-images/2015/8/39/20150f105ac56580b53f2b8686c9560556a6.jpg,"['Patr n Reposado tequila', 'Havana Club Year Old rum', 'Pink grapefruit juice', 'Pineapple juice', 'Sugar syrup']",Serve in a Collins glass,tequila|rum
